GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric,part_2
DA5V89B,bsPwr,42,43,DBEA4,DBEA5,False,False,bsPwr:43
DA5748B,bsPwr,42,43,DBEA4,DBEA5,False,False,bsPwr:43
DA5ZM5C,bsPwr,42,43,DBEA4,DBEA5,False,False,bsPwr:43
DA5ZH2B,bsPwr,42,43,DBEA4,DBEA5,False,False,bsPwr:43
DA5530A,bsPwr,42,43,DBEA4,DBEA5,False,False,bsPwr:43
DA5C19B,bsPwr,42,43,DBEA4,DBEA5,False,False,bsPwr:43
DA5XY2A,bsPwr,42,40,DBEA4,DBEA5,False,False,bsPwr:40
NOSNM33A,bsPwr,42,43,DBEA4,CBEA5,False,False,bsPwr:43
LXRGN10B,bsPwr,42,43,DBEA5,CBEA5,False,False,bsPwr:43
CMMHG27B,bsPwr,42,40,DBEA5,CBEA5,False,False,bsPwr:40
CMNKT79A,bsPwr,42,40,DBEA5,DBEA4,False,False,bsPwr:40
CMNKT39A,bsPwr,42,40,DBEA5,DBEA4,False,False,bsPwr:40
LXRGN41B,bsPwr,42,40,DBEA5,CBEA5,False,False,bsPwr:40
CMBRRC8A,bsPwr,80,43,DBEA5,DBEA1,False,False,bsPwr:43
CGPCHD0A,bsPwr,42,43,CBEC3,CBEC2,False,False,bsPwr:43
CGPCHD0B,bsPwr,42,43,CBEC3,CBEC2,False,False,bsPwr:43
DA4YM6B,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA5A8AB,bsPwr,42,43,CBEA5,DBEA5,False,False,bsPwr:43
DA5452B,bsPwr,42,43,CBEA5,DBEA5,False,False,bsPwr:43
DA5C83B,bsPwr,42,43,CBEA5,DBEA5,False,False,bsPwr:43
DA5C83A,bsPwr,42,43,CBEA5,DBEA5,False,False,bsPwr:43
DA5NV9B,bsPwr,42,40,CBEA5,DBEA5,False,False,bsPwr:40
DA5E26B,bsPwr,42,43,CBEA5,DBEA5,False,False,bsPwr:43
DA2523A,bsPwr,42,43,CBEA5,DBEA2,False,False,bsPwr:43
DA2523B,bsPwr,42,43,CBEA5,DBEA2,False,False,bsPwr:43
DA2SG9A,bsPwr,42,40,CBEA5,DBEA2,False,False,bsPwr:40
DA4X61C,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4072C,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4072A,bsPwr,42,41,CBEA5,DBEA4,False,False,bsPwr:41
DA4777C,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4V99B,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4V99C,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4V99A,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4W72C,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
DA4GD7B,bsPwr,42,40,CBEA5,DBEA4,False,False,bsPwr:40
DA5NS7A,bsPwr,42,40,CBEA5,DBEA5,False,False,bsPwr:40
DA5SU4B,bsPwr,42,40,CBEA5,DBEA5,False,False,bsPwr:40
CA4217A,bsPwr,42,43,CBEA5,DBEA4,False,False,bsPwr:43
CGPCHD0A,bsPwr,42,43,CBEB3,CBEC2,False,False,bsPwr:43
CGPCHD0C,bsPwr,42,43,CBEB3,CBEC2,False,False,bsPwr:43
CGMIRF7C,bsPwr,80,43,CBEA8,CBEB0,False,False,bsPwr:43
